user_id,email,subscription_tier,created_date
1,user1@example.com,free,2023-04-28
2,user2@example.com,premium,2024-01-12
3,user3@example.com,free,2024-02-23
4,user4@example.com,premium,2023-06-15
5,user5@example.com,free,2023-08-14
6,user6@example.com,premium,2023-05-23
7,user7@example.com,free,2024-02-28
8,user8@example.com,premium,2023-12-24
9,user9@example.com,free,2023-09-24
10,user10@example.com,premium,2023-09-24
11,user11@example.com,free,2023-06-05
12,user12@example.com,premium,2024-01-28
13,user13@example.com,free,2023-04-28
14,user14@example.com,premium,2023-10-23
15,user15@example.com,free,2023-08-09
16,user16@example.com,premium,2023-09-30
17,user17@example.com,free,2023-08-09
18,user18@example.com,premium,2023-07-02
19,user19@example.com,free,2023-08-16
20,user20@example.com,premium,2023-08-21
